# Four-sample capture, stock Android, idle vs playback, 2026-08-31
#
# The stock half of the widened block comparison, and the first capture
# of these windows on a working system. Vendor stack reached via
# 'run switch_vendor' at our U-Boot prompt plus a power cycle.
#
# STATE 1  Android idle. Source 0 already reads 0x03000013 at rest.
# STATE 2  com.softwinner.TvdVideo playing a 1280x720 H.264 clip with a
#          silent AAC track, VISUALLY CONFIRMED on the panel by the
#          operator, decoder logging QueueBufferToShow, and the AFBD
#          buffer ring cycling (0x01500000/0x01B00000/0x00400000/...).
#
# POSITIVE CONTROL PASSED: AFBD Y/C bases classify free-running here
# (cycling ring) and state-driven on the Linux side (installed once), so
# both captures observed their real states.
#
# Read with hidtvreg-read via /dev/hidtvreg, byte-identical format to
# mmio-read, so it diffs line-for-line against
# linux-mips-alive-decd-4sample-2026-08-31.txt.
#
== state1-a
05000948 0x5B0400C5
0500094c 0x00240300
05000950 0x0E003902
05000954 0x29020079
05000958 0x31010006
0500095c 0x00008000
05000960 0x00000000
05000964 0x00000804
05000968 0x00000000
0500096c 0x00000000
05000970 0x00F58150
05000974 0xC000D021
05000978 0x00000000
0500097c 0x00000000
05000980 0x02808000
05000984 0x00000000
05000988 0x00000000
0500098c 0x00000000
05000990 0x00000000
05000994 0x00000000
05000998 0x00000000
0500099c 0x00000000
050009a0 0x00000000
050009a4 0x00000000
050009a8 0x00000000
050009ac 0x00000000
050009b0 0x00000000
050009b4 0x00000000
050009b8 0x00000000
050009bc 0x00000000
050009c0 0x00000000
050009c4 0x00000000
050009c8 0x08000000
050009cc 0x00000088
050009d0 0x00004000
050009d4 0x000000C0
050009d8 0x00000673
050009dc 0x00000000
050009e0 0x00000000
050009e4 0x00000000
050009e8 0x00000000
050009ec 0x00000000
050009f0 0x00000000
050009f4 0x00000000
050009f8 0x00000000
050009fc 0x00000000
05000a00 0x0000BFB9
05000a04 0x1A8801FF
05000a08 0x880001FF
05000a0c 0x02E902E7
05000a10 0x054F02F7
05000a14 0x00000000
05000a18 0x00084010
05000a1c 0x00084010
05000a20 0x00001550
05000a24 0x00000000
05000a28 0x00000000
05000a2c 0x00000021
05000a30 0x00000000
05000a34 0x00000021
05000a38 0x00000000
05000a3c 0x00000000
05000a40 0x00000001
05000a44 0x00000001
05000a48 0x02466038
05000a4c 0x00000000
05000a50 0x00000000
05000a54 0x00000000
05000a58 0x03C77039
05000a5c 0x00000000
